name;website;sourceID
Spendesk;https://www.spendesk.com/;3
SPK Technology;https://www.spktechnology.com/;3
Sport Equity;http://sport-equity.com/;3
Spotify;http://www.spotify.com/;3
Spotlag;https://www.spotlag.com/;3
Squarepoint Capital;http://www.squarepoint-capital.com/;3
Stacktical (DSLA Protocol);https://stacktical.com/;3
Stanley Robotics;http://www.stanley-robotics.com/;3
Starling Partners;https://starling.partners/;3
Stealth startup (space software);https://en.wikipedia.org/wiki/stealth_startup;3
Sterblue;https://www.sterblue.com/en/;3
Stimly;http://stimly.co/;3
Stimulab;http://www.stimulab.fr/;3
Stockly;https://www.stockly.ai/;3
Storelift;https://storelift.co/;3
STREAMROOT;http://www.streamroot.io/;3
Stuart;http://www.stuart.com/;3
Sport on Campus;https://www.sportoncampus.com/;3
Superbolt;https://www.superbolt.agency/;3
Surprise;https://surprise.io/;3
SustainEcho;https://www.sustainecho.com/;3
Swan;https://www.swan.io/;3
T2TECHNOLOGY;https://www.t2technology.fr/;3
Tacotax;https://www.tacotax.fr/;3
Takeoff Labs;https://www.takeoff-labs.com/;3
Talend;http://www.talend.com/;3
Talkdesk;http://350.org/;3
Talkwalker;http://www.talkwalker.com/;3
Teach on Mars;http://www.teachonmars.com/;3
Teads;http://teads.com/;3
Tealium;http://www.tealium.com/;3
TeamPulse;https://teampulse.xyz/;3
Arenametrix;http://arenametrix.com/;3
The Makers Podcast;https://themakerspodcast.podbean.com/;3
The Pitch Place;http://www.thepitchplace.com/;3
The Product Crew;https://www.theproductcrew.io/;3
The Starks Company;https://angel.co/the-starks-company;3
The bet league;https://thebetleague.com/;3
Thiga;https://thiga.co/;3
thunderstone;https://www.thunderstone.io/;3
Thycotic;http://www.thycotic.com/;3
TIER Mobility;https://www.tier.app/;3
TIKTAL;https://tiktal.co/;3
Tiller Systems;http://www.tillersystems.com/;3
TipeeeStream;https://www.tipeeestream.com/;3
Tiramisu;https://tiramisuapp.com/;3
travel audience;http://www.travelaudience.com/;3
Trekker;http://trekker.fr/;3
Triptic;https://triptic.io/;3
UiPath;http://www.uipath.com/;3
Understory;http://understoryweather.com/;3
Unity Technologies;https://unity.com/;3
Up Lab;https://www.uplab.fr/;3
Upflow;http://www.upflow.io/;3
UpStride;https://www.upstride.io/;3
Urban;http://www.urban.co/;3
Urban Airship;http://urbanairship.com/;3
fabriq;https://www.usefabriq.com/;3
Valomat;http://www.valomat.com/;3
Veepee;https://www.veepee.com/;3

Veeva Systems;http://www.veeva.com/;3
Vegg'up;http://veggup.com/;3
Vendredi;http://vendredi.cc/;3
Vianova;http://www.vianova.io/;3
Viasema;https://www.viasema.com/;3
Virtualbull;https://www.virtualbull.org/;3
Visuary;http://visuary.fr/;3
VizioSense;https://viziosense.com/;3
VOI Technology AB;https://www.voiscooters.com/;3
Volta Medical;https://volta-medical.com/;3
Voltaire;http://voltaire.bike/;3
Voodoo.io;http://www.voodoo.io/;3
Voodoo;https://www.voodoo.io/;3
Walter Learning;http://www.walter-learning.com/;3
Wellon;https://mywellon.com/;3
Wemap;https://getwemap.com/;3
Whyse;https://whyse.co/;3
Wild Wild Search;http://www.wildwildsearch.com/;3
Winglet.io;https://www.winglet.io/;3
Wingly;https://www.wingly.io/;3
Wiredcraft;https://wiredcraft.com/;3
Wisear;https://www.wisear.io/;3
Wisebot;https://www.wisebot.fr/;3
Wissl Media;https://www.wisslmedia.com/;3
Woorton;http://www.woorton.com/;3
www.nextstation.com;http://www.nextstation.com/;3
www.scientifeet.com;http://www.scientifeet.com/;3
XaaS;http://www.xaas.fr/;3
Xkey;https://xkey.io/;3
YOLO;http://onyolo.com/;3
Yotha;http://yotha.com/;3
You2You;http://relayed.fr/;3
YouShould;https://www.youshould.eu/;3
Cutii;https://www.cutii.io/;3
Zeloce;https://zeloce.com/;3
Zenly;https://zen.ly/;3
